 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr
83,Switch_S6TPE_1_20x_Med_R_VTA red: region 016; 01-09; 700-10000,1202,125.035,34.444,106,76,225,599.326,377.003,598.489,377.736,192.066,566,361,62,32,61.509,24.882,13.121,0.409,62.514,150292,117,0.972,0.476,99.751,150292,566,380,7.352,26.349,2.472,0.405,0.863,76,255
84,Switch_S6TPE_1_20x_Med_R_VTA red: region 017; 01-09; 700-10000,736,120.812,35.893,77,76,229,876.319,387.092,876.71,387.358,251.321,851,363,53,46,40.705,23.022,53.399,0.146,63.253,88918,113,0.878,0.085,98.264,88918,855,403,39.226,34.921,1.768,0.566,0.483,76,255
85,Switch_S6TPE_1_20x_Med_R_VTA red: region 018; 01-09; 700-10000,2192,131.436,38.917,78,76,219,60.248,411.443,57.17,409.065,299.948,9,384,93,66,90.722,30.764,149.271,0.306,98.031,288108,126,0.281,-1.149,90.653,288108,9,392,161.565,46.855,2.949,0.339,0.631,76,255
86,Switch_S6TPE_1_20x_Med_R_VTA red: region 019; 01-09; 700-10000,1482,124.389,29.282,112,76,214,390.159,437.016,389.622,437.173,261.966,338,423,109,24,98.76,19.106,179.526,0.271,109.458,184345,122,0.427,-0.451,96.799,184345,338,435,174.758,23.62,5.169,0.193,0.78,76,255
87,Switch_S6TPE_1_20x_Med_R_VTA red: region 020; 01-09; 700-10000,886,127.028,33.963,128,76,218,664.754,456.41,665.593,455.905,157.823,639,441,51,31,50.967,22.134,17.928,0.447,55.758,112547,123,0.695,-0.121,99.439,112547,642,471,32.55,24.85,2.303,0.434,0.828,76,255
88,Switch_S6TPE_1_20x_Med_R_VTA red: region 021; 01-09; 700-10000,821,144.952,41.852,88,76,233,1242.038,498.133,1241.854,497.106,194.007,1222,478,42,40,46.925,22.276,44.09,0.274,50,119006,145,0.093,-1.19,100,119006,1224,518,53.13,24.749,2.107,0.475,0.83,76,255
89,Switch_S6TPE_1_20x_Med_R_VTA red: region 022; 01-09; 700-10000,1718,118.91,26.047,114,76,195,177.832,500.386,176.869,499.965,259.321,131,487,102,32,85.899,25.465,175.863,0.321,103.407,204287,116,0.359,-0.616,99.077,204287,131,491,170.538,32,3.373,0.296,0.763,76,255
90,Switch_S6TPE_1_20x_Med_R_VTA red: region 023; 01-09; 700-10000,1192,137.079,36.078,167,76,208,643.26,509.233,645.395,508.858,200.794,597,494,78,31,63.258,23.992,11.333,0.372,78.313,163398,142,-0.081,-1.254,99.666,163398,597,513,5.128,28.771,2.637,0.379,0.794,76,255
91,Switch_S6TPE_1_20x_Med_R_VTA red: region 024; 01-09; 700-10000,1116,182.85,44.384,232,76,235,1032.539,518.416,1033.395,518.47,159.681,1002,504,63,30,64.01,22.199,16.989,0.55,66.408,204061,194,-0.845,-0.338,100,204061,1002,529,18.435,23.946,2.884,0.347,0.924,76,255
92,Switch_S6TPE_1_20x_Med_R_VTA red: region 025; 01-09; 700-10000,984,108.736,20.982,106,76,183,1205.29,555.157,1205.048,555.924,203.563,1186,525,41,54,56.441,22.198,60.624,0.298,63.008,106996,106,0.565,-0.079,98.106,106996,1189,577,54.039,26.386,2.543,0.393,0.794,76,255
93,Switch_S6TPE_1_20x_Med_R_VTA red: region 026; 01-09; 700-10000,1490,121.474,35.03,84,76,221,1257.197,562.201,1258.169,561.4,276.333,1215,536,71,49,64.781,29.285,28.974,0.245,80.262,180996,114,0.633,-0.65,96.753,180996,1217,577,30.719,34.766,2.212,0.452,0.743,76,255
94,Switch_S6TPE_1_20x_Med_R_VTA red: region 027; 01-09; 700-10000,852,126.779,33.177,99,76,213,974.549,569.066,975.075,568.733,152.61,947,556,56,24,54.595,19.87,5.767,0.46,57.489,108016,123,0.355,-0.81,98.955,108016,947,578,13.069,23.444,2.748,0.364,0.841,76,255
95,Switch_S6TPE_1_20x_Med_R_VTA red: region 028; 01-09; 700-10000,736,118.697,32.025,92,76,205,496.103,574.056,497.812,573.081,232.936,465,558,52,36,39.625,23.649,26.35,0.17,53.6,87361,110,0.671,-0.648,99.594,87361,465,580,14.036,32.417,1.676,0.597,0.558,76,255
96,Switch_S6TPE_1_20x_Med_R_VTA red: region 029; 01-09; 700-10000,818,124.142,25.512,109,76,195,974.858,598.05,974.401,598.152,131.983,950,589,51,20,51.169,20.354,179.809,0.59,51.971,101548,122,0.355,-0.462,99.878,101548,950,590,168.906,20,2.514,0.398,0.943,76,255
97,Switch_S6TPE_1_20x_Med_R_VTA red: region 030; 01-09; 700-10000,1598,125.177,36.993,84,76,215,495.069,641.257,496.73,640.383,410.316,442,612,92,62,62.272,32.673,150.486,0.119,96.167,200033,115,0.596,-0.806,96.966,200033,442,613,163.072,46.484,1.906,0.525,0.59,76,255
98,Switch_S6TPE_1_20x_Med_R_VTA red: region 031; 01-09; 700-10000,1452,156.567,42.486,215,76,228,154.9,672.819,154.52,674.079,182.995,126,647,55,49,53.518,34.544,47.727,0.545,63.632,227336,163,-0.273,-1.108,88.483,227336,126,683,30.192,42.793,1.549,0.645,0.752,76,255
99,Switch_S6TPE_1_20x_Med_R_VTA red: region 032; 01-09; 700-10000,648,114.548,25.87,97,76,193,227.424,671.321,227.511,671.583,151.095,199,655,52,30,40.584,20.33,164.386,0.357,54.781,74227,112,0.498,-0.519,69.379,74227,199,664,158.587,26.667,1.996,0.501,0.619,76,255
100,Switch_S6TPE_1_20x_Med_R_VTA red: region 033; 01-09; 700-10000,918,115.784,27.294,101,76,197,397.874,679.742,395.795,680.017,216.693,361,662,67,31,56.572,20.661,176.204,0.246,67.602,106290,113,0.649,-0.219,98.077,106290,361,671,172.349,28.778,2.738,0.365,0.62,76,255
101,Switch_S6TPE_1_20x_Med_R_VTA red: region 034; 01-09; 700-10000,1302,142.747,47.529,81,76,238,643.727,702.203,645.69,702.894,279.078,602,689,82,29,75.024,22.096,176.456,0.21,82.098,185857,136,0.306,-1.21,98.786,185857,602,698,177.207,28.127,3.395,0.295,0.79,76,255
